log,model,precision,recall,simplicity
C:\projects\python\Anda\resources\logs\RTFMS_40000.xes,C:\projects\python\Anda\resources\models\RTFMS_40000_heuristics.pnml,0.9994191059122789,0.9253637221533801,60
C:\projects\python\Anda\resources\logs\RTFMS_40000.xes,C:\projects\python\Anda\resources\models\RTFMS_40000_inductive.pnml,0.5164725754481875,1.0,63
C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_alpha.pnml,0.6446368959321529,0.6531529499028588,23
C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_heuristics.pnml,0.9912961003059377,0.9222175487054487,65
C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_inductive.pnml,0.5578671381032287,1.0,67
C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_alpha.pnml,0.09152256941646653,0.5598729979736758,34
C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_heuristics.pnml,0.2761747221504265,0.9844879521470814,110
C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_inductive.pnml,0.09901218223244623,0.9926741875072392,133
C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_alpha.pnml,0.09473934874330125,0.5612349653452857,34
C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_heuristics.pnml,0.2696645459803354,0.9822967996644445,104
C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_inductive.pnml,0.11817991412713369,0.9672846895919003,134
C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_alpha.pnml,0.09851697345674759,0.5597648586560053,34
C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_heuristics.pnml,0.2540621878279782,0.97934154708974,121
C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_inductive.pnml,0.12248706577974866,0.9673310625342197,135
C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_alpha.pnml,0.10105053322127855,0.5593629160012938,34
C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_heuristics.pnml,0.2665962590660389,0.9793175924812414,118
C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_inductive.pnml,0.12644980654174864,0.9679290497584518,133
C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_alpha.pnml,0.10283480074328144,0.5591183160573947,34
C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_heuristics.pnml,0.2706493078866038,0.9793998198331716,121
C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_inductive.pnml,0.12701433016716412,0.9734742719286664,132
C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_alpha.pnml,0.10415070852886255,0.5589102604114782,34
C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_heuristics.pnml,0.373065144876379,0.9793779428349618,121
C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_inductive.pnml,0.1281837286336559,0.9733560593631417,132
C:\projects\python\Anda\resources\logs\BPIC2012_100000.xes,C:\projects\python\Anda\resources\models\BPIC2012_100000_alpha.pnml,0.10509922293486673,0.5587141153987314,34
C:\projects\python\Anda\resources\logs\BPIC2012_100000.xes,C:\projects\python\Anda\resources\models\BPIC2012_100000_heuristics.pnml,0.27007293521645814,0.9756593802381743,123
C:\projects\python\Anda\resources\logs\BPIC2012_100000.xes,C:\projects\python\Anda\resources\models\BPIC2012_100000_inductive.pnml,0.12903604049252848,0.973372593984489,132
